Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Dying Light,XOne,2015,Action,Warner Bros. Interactive Entertainment,1.01,0.31,0.01,0.14,1.47
Ryse,XOne,2013,Action,Microsoft Studios,0.84,0.49,0,0.13,1.47
Forza Horizon 2,XOne,2014,Racing,Microsoft Studios,0.56,0.79,0.01,0.11,1.46
Doom (2016),XOne,2016,Shooter,Bethesda Softworks,0.76,0.57,0,0.13,1.45
Assassin's Creed Syndicate,XOne,2015,Action,Ubisoft,0.71,0.61,0,0.12,1.44
South Park: The Fractured But Whole,PS4,2017,Role-Playing,Ubisoft,0.62,0.57,0,0.24,1.43
Middle-Earth: Shadow of Mordor,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.77,0.52,0.01,0.12,1.42
The Sims 4,PS4,2017,Simulation,Electronic Arts,0.44,0.72,0.01,0.22,1.39
Street Fighter V,PS4,2016,Fighting,Capcom,0.64,0.42,0.12,0.22,1.39
Rocket League,XOne,2016,Sports,505 Games,0.52,0.75,0,0.11,1.38
The Elder Scrolls Online,XOne,2015,MMO,Bethesda Softworks,0.86,0.39,0,0.13,1.38
Titanfall 2,XOne,2016,Shooter,Electronic Arts,0.88,0.37,0,0.13,1.37
Wolfenstein II: The New Colossus,PS4,2017,Shooter,Bethesda Softworks,0.55,0.58,0.01,0.22,1.36
Watch Dogs 2,XOne,2016,Action,Ubisoft,0.71,0.53,0,0.12,1.35
WWE 2K18,PS4,2017,Sports,2K Sports,0.45,0.67,0,0.22,1.33
EA Sports UFC 2,PS4,2016,Sports,EA Sports,0.44,0.65,0,0.21,1.31
Lego Star Wars: The Force Awakens,PS4,2016,Action-Adventure,Warner Bros. Interactive Entertainment,0.3,0.78,0.02,0.2,1.31
FIFA Soccer 14,XOne,2013,Sports,EA Sports,0.44,0.78,0,0.1,1.31
The Last Guardian,PS4,2016,Action-Adventure,Sony Interactive Entertainment,0.4,0.58,0.13,0.19,1.29
WWE 2K16,PS4,2015,Sports,Take-Two Interactive,0.43,0.65,0,0.21,1.29
Borderlands: The Handsome Collection,PS4,2015,Shooter,2K Games,0.69,0.34,0.03,0.22,1.28
Project CARS,PS4,2015,Racing,Bandai Namco Games,0.29,0.76,0.04,0.19,1.28
Destiny: The Taken King,XOne,2015,Shooter,Activision,0.91,0.23,0,0.12,1.27
Battlefield: Hardline,XOne,2015,Shooter,Electronic Arts,0.73,0.39,0.01,0.11,1.24
WWE 2K17,PS4,2016,Sports,2K Games,0.32,0.7,0,0.19,1.22
Guitar Hero Live,PS4,2015,Music,Activision,0.52,0.49,0,0.2,1.21
Kingdom Hearts HD 2.8 Final Chapter Prologue,PS4,2017,Role-Playing,Square Enix,0.57,0.25,0.2,0.17,1.2
Mad Max (2013),PS4,2015,Action,Warner Bros. Interactive Entertainment,0.38,0.59,0.05,0.19,1.2
Metal Gear Solid: Ground Zeroes,PS4,2014,Action-Adventure,Konami Digital Entertainment,0.36,0.5,0.17,0.17,1.2
Dragon Ball: XenoVerse,PS4,2015,Fighting,Namco Bandai Games,0.33,0.55,0.14,0.17,1.19
LEGO Dimensions,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.48,0.5,0,0.2,1.18
LEGO Jurassic World,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.41,0.56,0.02,0.19,1.18
MLB The Show 17,PS4,2017,Sports,Sony Interactive Entertainment,0.94,0,0,0.22,1.16
WWE 2K15,PS4,2014,Sports,2K Sports,0.4,0.57,0,0.19,1.16
Sunset Overdrive,XOne,2014,Action,Microsoft Studios,0.64,0.42,0,0.1,1.16
Middle-Earth: Shadow of War,XOne,2017,Action,Warner Bros. Interactive Entertainment,0.75,0.29,0,0.11,1.15
Lego Marvel Super Heroes,XOne,2013,Action,Warner Bros. Interactive Entertainment,0.61,0.44,0,0.1,1.15
LEGO Worlds,PS4,2017,Misc,Warner Bros. Interactive Entertainment,0.21,0.72,0.04,0.17,1.14
Final Fantasy XV,XOne,2016,Role-Playing,Square Enix,0.72,0.3,0.01,0.11,1.14
The Elder Scrolls V: Skyrim PSVR,PS4,2017,Role-Playing,Bethesda Softworks,0.47,0.47,0.01,0.19,1.13
LEGO Marvel Super Heroes 2,PS4,2017,Action,Warner Bros. Interactive Entertainment,0.33,0.6,0,0.18,1.11
Mafia III,XOne,2016,Action-Adventure,2K Games,0.54,0.48,0,0.09,1.11
EA Sports UFC,PS4,2014,Fighting,Electronic Arts,0.49,0.43,0.01,0.18,1.11
Final Fantasy XII: The Zodiac Age,PS4,2017,Role-Playing,Square Enix,0.37,0.41,0.16,0.15,1.1
Alien: Isolation,PS4,2014,Adventure,Sega,0.29,0.59,0.05,0.16,1.09
The Evil Within II,PS4,2017,Action,Bethesda Softworks,0.31,0.49,0.09,0.15,1.05
Prey (2017),PS4,2017,Shooter,Bethesda Softworks,0.25,0.62,0.02,0.16,1.04
Final Fantasy Type-0,PS4,2015,Role-Playing,Square Enix,0.4,0.33,0.16,0.15,1.04
Diablo III,XOne,2014,Role-Playing,Blizzard Entertainment,0.62,0.32,0,0.09,1.04
Ni-Oh,PS4,2017,Action,Tecmo Koei,0.34,0.36,0.2,0.14,1.03
Steep,PS4,2016,Sports,Ubisoft,0.23,0.6,0.02,0.15,1.01
LEGO Marvel's Avengers,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.31,0.53,0.01,0.16,1.01
Evolve,PS4,2015,Shooter,2K Games,0.38,0.41,0.05,0.16,1.01
MLB 15: The Show,PS4,2015,Sports,Sony Computer Entertainment,0.75,0.08,0,0.19,1.01
Just Cause 3,XOne,2015,Action-Adventure,Square Enix,0.52,0.41,0,0.09,1.01
Far Cry: Primal,XOne,2016,Action-Adventure,Ubisoft,0.51,0.41,0,0.09,1
Dragon Age III: Inquisition,XOne,2014,Role-Playing,Electronic Arts,0.63,0.27,0,0.09,0.99
Injustice: Gods Among Us,PS4,2013,Fighting,Warner Bros. Interactive Entertainment,0.46,0.35,0,0.17,0.98
MLB 16: The Show,PS4,2016,Sports,Sony Computer Entertainment,0.78,0,0,0.18,0.96
Madden NFL 25,PS4,2013,Sports,EA Sports,0.64,0.15,0,0.17,0.96
Lego Batman 3: Beyond Gotham,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.37,0.42,0,0.16,0.94
NBA 2K14,XOne,2013,Sports,2K Sports,0.72,0.12,0,0.09,0.94
Final Fantasy X/X-2 HD Remaster,PS4,2015,Role-Playing,Square Enix,0.34,0.36,0.07,0.14,0.9
Resident Evil VII: Biohazard,XOne,2017,Action,Capcom,0.51,0.3,0,0.08,0.89
Fortnite,PS4,2017,Action,Gearbox Software,0.42,0.32,0,0.15,0.89
Injustice 2,XOne,2017,Fighting,Warner Bros. Interactive Entertainment,0.65,0.16,0,0.09,0.89
God of War III,PS4,2015,Action,Sony Computer Entertainment,0.4,0.33,0.02,0.15,0.89
LEGO Harry Potter Collection,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.07,0.68,0,0.13,0.88
For Honor,XOne,2017,Action,Ubisoft,0.57,0.21,0,0.08,0.87
Minecraft: Story Mode,PS4,2015,Adventure,Mojang,0.31,0.42,0,0.14,0.87
BioShock The Collection,PS4,2016,Shooter,2K Games,0.41,0.28,0.03,0.14,0.86
Dishonored 2,XOne,2016,Action,Bethesda Softworks,0.47,0.31,0,0.08,0.86
Plants vs. Zombies: Garden Warfare 2,XOne,2016,Shooter,Electronic Arts,0.47,0.32,0,0.08,0.86
Farming Simulator 17,PS4,2016,Simulation,Focus Home Interactive,0.19,0.52,0.01,0.13,0.85
Until Dawn: Rush of Blood,PS4,2016,Shooter,Sony Interactive Entertainment,0.5,0.21,0,0.15,0.85
Disney Infinity 3.0,PS4,2015,Action,Disney Interactive Studios,0.31,0.4,0,0.14,0.85
Thief 4,PS4,2014,Action,Square Enix,0.28,0.41,0.03,0.13,0.85
Guitar Hero Live,XOne,2015,Music,Activision,0.52,0.23,0,0.08,0.83
Metal Gear Solid V: The Phantom Pain,XOne,2015,Action,Konami Digital Entertainment,0.49,0.25,0.02,0.07,0.83
Madden NFL 25,XOne,2013,Sports,EA Sports,0.69,0.06,0,0.09,0.83
Pro Evolution Soccer 2016,PS4,2015,Sports,Konami Digital Entertainment,0.14,0.43,0.14,0.1,0.82
ARK: Survival Evolved,PS4,2017,Action,Studio Wildcard,0.28,0.29,0.14,0.11,0.81
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4,2015,Action,Square Enix,0.21,0.14,0.39,0.07,0.81
Dark Souls III,XOne,2016,Role-Playing,Namco Bandai Games,0.56,0.15,0,0.08,0.79
Assassin's Creed The Ezio Collection,PS4,2016,Action,Ubisoft,0.14,0.52,0.02,0.12,0.79
Final Fantasy XIV: A Realm Reborn,PS4,2014,MMO,Square Enix,0.35,0.23,0.08,0.12,0.79
Mass Effect: Andromeda,XOne,2017,Role-Playing,Electronic Arts,0.5,0.2,0,0.07,0.78
Hitman (2016),PS4,2017,Action,Square Enix,0.24,0.36,0.06,0.11,0.78
Destiny: The Collection,PS4,2016,Shooter,Activision,0.24,0.4,0.02,0.12,0.78
F1 2016 (Codemasters),PS4,2016,Racing,Codemasters,0.07,0.56,0.03,0.11,0.78
Rare Replay,XOne,2015,Misc,Microsoft Studios,0.42,0.27,0.01,0.07,0.78
LEGO Jurassic World,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.44,0.27,0,0.07,0.78
Fortnite,XOne,2017,Action,Gearbox Software,0.6,0.09,0,0.08,0.77
Minecraft: Story Mode,XOne,2015,Adventure,Mojang,0.46,0.24,0,0.07,0.77
Quantum Break,XOne,2016,Action,Microsoft Studios,0.42,0.25,0.02,0.07,0.76
Pro Evolution Soccer 2015,PS4,2014,Sports,Konami Digital Entertainment,0.09,0.45,0.12,0.1,0.76
Pro Evolution Soccer 2018,PS4,2017,Sports,Konami Digital Entertainment,0.12,0.36,0.19,0.09,0.75
LEGO City Undercover,PS4,2017,Platform,Warner Bros. Interactive Entertainment,0.17,0.46,0.01,0.12,0.75
Pro Evolution Soccer 2017,PS4,2016,Sports,Konami Digital Entertainment,0.08,0.41,0.18,0.09,0.75
Rock Band 4,XOne,2015,Music,Harmonix Music Systems,0.62,0.05,0,0.08,0.75
Wolfenstein: The New Order,XOne,2014,Shooter,Bethesda Softworks,0.39,0.3,0,0.06,0.75
Disney Infinity 2.0: Marvel Super Heroes,PS4,2014,Action-Adventure,Disney Interactive Studios,0.37,0.25,0,0.13,0.75
Need for Speed (2015),XOne,2015,Racing,Electronic Arts,0.35,0.33,0,0.06,0.74
Sniper Elite 3,PS4,2014,Shooter,505 Games,0.25,0.37,0,0.12,0.74
The Sims 4,XOne,2017,Simulation,Electronic Arts,0.42,0.24,0,0.07,0.73
Need for Speed: Payback,XOne,2017,Racing,Electronic Arts,0.42,0.24,0,0.07,0.73
Dead Rising 4,XOne,2016,Action-Adventure,Microsoft Studios,0.41,0.25,0,0.06,0.73
MLB 14 The Show,PS4,2014,Sports,Sony Computer Entertainment,0.59,0,0,0.14,0.73
WipEout Omega Collection,PS4,2017,Racing,Sony Interactive Entertainment,0.12,0.49,0,0.11,0.72
Deus Ex: Mankind Divided,PS4,2016,Role-Playing,Square Enix,0.25,0.34,0.01,0.12,0.72
LEGO Dimensions,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.47,0.18,0,0.07,0.72
Plants vs Zombies: Garden Warfare,XOne,2014,Shooter,Electronic Arts,0.39,0.25,0,0.06,0.71
The Crew,XOne,2014,Racing,Ubisoft,0.32,0.34,0,0.06,0.71
The LEGO Movie Videogame,PS4,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.26,0.32,0.01,0.11,0.71
Wolfenstein II: The New Colossus,XOne,2017,Shooter,Bethesda Softworks,0.45,0.19,0,0.07,0.7
Marvel vs. Capcom: Infinite,PS4,2017,Fighting,Capcom,0.36,0.19,0.04,0.11,0.7
Need for Speed Rivals,XOne,2013,Racing,Electronic Arts,0.45,0.19,0,0.07,0.7
LEGO Worlds,XOne,2017,Misc,Warner Bros. Interactive Entertainment,0.28,0.35,0,0.05,0.69
Yakuza 6,PS4,2016,Adventure,Sega,0.16,0.1,0.38,0.05,0.69
Dark Souls II,PS4,2015,Role-Playing,Namco Bandai Games,0.27,0.23,0.09,0.1,0.69
The Evil Within,XOne,2014,Misc,Bethesda Softworks,0.36,0.27,0,0.06,0.69
Borderlands: The Handsome Collection,XOne,2015,Shooter,2K Games,0.49,0.13,0,0.07,0.68
F1 2015,PS4,2015,Racing,Codemasters,0.1,0.45,0.04,0.1,0.68
METRO 2033,PS4,2014,Shooter,Deep Silver,0.22,0.31,0.05,0.1,0.68
Evolve,XOne,2015,Shooter,2K Games,0.4,0.2,0,0.06,0.67
Rocksmith 2014,PS4,2014,Music,Ubisoft,0.38,0.17,0,0.12,0.67
WWE 2K18,XOne,2017,Sports,2K Sports,0.35,0.25,0,0.06,0.66
NHL 16,PS4,2015,Sports,EA Sports,0.38,0.16,0,0.12,0.66
Plants vs Zombies: Garden Warfare,PS4,2014,Shooter,Electronic Arts,0.24,0.3,0.01,0.11,0.66
Tomb Raider (2013),XOne,2014,Action-Adventure,Square Enix,0.38,0.22,0,0.06,0.66
Tales of Berseria,PS4,2016,Role-Playing,Namco Bandai Games,0.22,0.1,0.26,0.07,0.65
One Piece: Burning Blood,PS4,2016,Fighting,Namco Bandai Games,0.21,0.26,0.09,0.09,0.65
Yakuza Zero: The Place of Oath,PS4,2015,Adventure,Sega,0.22,0.16,0.19,0.08,0.65
The LEGO Movie Videogame,XOne,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.42,0.17,0,0.06,0.65
Batman: Return to Arkham,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.15,0.39,0.01,0.1,0.64
Plants vs. Zombies: Garden Warfare 2,PS4,2016,Shooter,Electronic Arts,0.22,0.31,0,0.1,0.63
WWE 2K16,XOne,2015,Sports,Take-Two Interactive,0.34,0.24,0,0.06,0.63
F1 2017,PS4,2017,Racing,Koch Media,0.04,0.47,0.02,0.09,0.62
South Park: The Fractured But Whole,XOne,2017,Role-Playing,Ubisoft,0.4,0.17,0,0.06,0.62
World of Final Fantasy,PS4,2016,Role-Playing,Square Enix,0.24,0.21,0.09,0.09,0.62
NHL 15,PS4,2014,Sports,EA Sports,0.32,0.19,0,0.11,0.62
Kinect Sports Rivals,XOne,2014,Sports,Microsoft Studios,0.3,0.25,0.02,0.05,0.62
LEGO The Hobbit,PS4,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.14,0.39,0,0.1,0.62
Knowledge is Power,PS4,2017,Party,Sony Interactive Entertainment,0.05,0.47,0,0.09,0.61
EA Sports UFC 2,XOne,2016,Sports,EA Sports,0.36,0.19,0,0.06,0.61
WWE 2K15,XOne,2014,Sports,2K Sports,0.32,0.23,0,0.05,0.61
L.A. Noire,PS4,2017,Adventure,Rockstar Games,0.18,0.32,0,0.1,0.6
NHL 17,XOne,2016,Sports,EA Sports,0.52,0.01,0,0.06,0.6
Hidden Agenda,PS4,2017,Adventure,Sony Interactive Entertainment,0.08,0.42,0,0.09,0.59
Call of Duty: Modern Warfare Remastered,PS4,2017,Shooter,Activision,0.17,0.3,0.03,0.09,0.58
Tekken 7,XOne,2017,Fighting,Namco Bandai Games,0.3,0.23,0,0.05,0.58
Dragon Quest Builders: Revive Alefgard,PS4,2016,Role-Playing,Square Enix,0.12,0.17,0.24,0.06,0.58
NHL 18,PS4,2017,Sports,EA Sports,0.31,0.16,0,0.1,0.57
The Lego Ninjago Movie Videogame,PS4,2017,Action,Warner Bros. Interactive Entertainment,0.16,0.32,0,0.09,0.57
LEGO Marvel Super Heroes 2,XOne,2017,Action,Warner Bros. Interactive Entertainment,0.32,0.2,0,0.05,0.57
WWE 2K17,XOne,2016,Sports,2K Games,0.26,0.26,0,0.05,0.57
Resident Evil: Revelations 2,PS4,2015,Action,Capcom,0.14,0.25,0.11,0.07,0.57
Rock Band 4,PS4,2015,Music,Harmonix Music Systems,0.41,0.06,0,0.1,0.57
DOOM VFR,PS4,2017,Shooter,Bethesda Softworks,0.22,0.25,0,0.09,0.56
Sonic Forces,PS4,2017,Platform,Sega,0.15,0.31,0.01,0.09,0.56
Everybody's Golf,PS4,2017,Sports,Sony Interactive Entertainment,0.12,0.22,0.17,0.06,0.56
The Amazing Spider-Man 2 (2014),PS4,2014,Action-Adventure,Activision,0.2,0.26,0.02,0.09,0.56
Project CARS 2,PS4,2017,Racing,Namco Bandai Games,0.1,0.35,0.02,0.08,0.55
Sniper Elite 4,PS4,2017,Shooter,Rebellion Developments,0.21,0.25,0,0.09,0.55
Rory McIlroy PGA Tour,PS4,2015,Sports,Electronic Arts,0.19,0.27,0,0.09,0.55
Disney Infinity 2.0: Marvel Super Heroes,XOne,2014,Action-Adventure,Disney Interactive Studios,0.35,0.15,0,0.05,0.55
Lords of the Fallen,PS4,2014,Role-Playing,Square Enix,0.2,0.24,0.02,0.09,0.55
Just Dance 2015,XOne,2014,Music,Ubisoft,0.36,0.13,0,0.05,0.54
NHL 17,PS4,2016,Sports,EA Sports,0.32,0.11,0,0.09,0.52
One Piece: Pirate Warriors 3,PS4,2015,Action,Namco Bandai Games,0.11,0.22,0.11,0.06,0.52
Skylanders: Trap Team,PS4,2014,Platform,Activision,0.25,0.18,0,0.09,0.52
Alien: Isolation,XOne,2014,Adventure,Sega,0.23,0.25,0,0.04,0.52
Halo Wars 2,XOne,2017,Strategy,Microsoft Studios,0.31,0.15,0,0.05,0.51
DiRT Rally,PS4,2016,Racing,Codemasters,0.13,0.3,0,0.08,0.51
NHL 16,XOne,2015,Sports,EA Sports,0.41,0.05,0,0.05,0.51
Homefront: The Revolution,PS4,2016,Shooter,Deep Silver,0.11,0.29,0.04,0.07,0.5
Attack on Titan (KOEI),PS4,2016,Action,Tecmo Koei,0.08,0.24,0.12,0.06,0.5
Lego Star Wars: The Force Awakens,XOne,2016,Action-Adventure,Warner Bros. Interactive Entertainment,0.24,0.22,0,0.04,0.5
Mad Max (2013),XOne,2015,Action,Warner Bros. Interactive Entertainment,0.29,0.16,0,0.05,0.5
DiRT 4,PS4,2017,Racing,Codemasters,0.1,0.3,0.02,0.07,0.49
Friday the 13th: The Game,PS4,2017,Action,Gun Media,0.29,0.09,0.03,0.08,0.48
Farpoint,PS4,2017,Shooter,Sony Interactive Entertainment,0,0.38,0.04,0.06,0.48
Battleborn,PS4,2016,Shooter,2K Games,0.25,0.12,0.03,0.08,0.48
BioShock The Collection,XOne,2016,Shooter,2K Games,0.35,0.08,0,0.05,0.48
Steep,XOne,2016,Sports,Ubisoft,0.24,0.2,0,0.04,0.48
LEGO Marvel's Avengers,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.26,0.18,0,0.04,0.48
Wolfenstein: The Old Blood,PS4,2015,Shooter,Bethesda Softworks,0.13,0.25,0.02,0.07,0.48
EA Sports UFC,XOne,2014,Fighting,Electronic Arts,0.3,0.13,0,0.04,0.48
Thief 4,XOne,2014,Action,Square Enix,0.26,0.17,0,0.04,0.48
The Walking Dead: A Telltale Games Series,PS4,2014,Adventure,Telltale Games,0.12,0.26,0.03,0.07,0.48
Zoo Tycoon (2013),XOne,2013,Simulation,Microsoft Studios,0.25,0.18,0,0.04,0.48
Just Dance 2014,XOne,2013,Music,Ubisoft,0.31,0.12,0,0.04,0.48
Knack 2,PS4,2017,Platform,Sony Interactive Entertainment,0.14,0.25,0.01,0.07,0.47
Dragon Ball: Xenoverse 2,XOne,2016,Action,Namco Bandai Games,0.33,0.09,0,0.05,0.47
